	L1_CD103	L2_CD103	L3_CD103	L1_DP	L2_DP	L3_DP	L1_DN	L2_DN	L3_DN	L2_CD49a	L3_CD49a
Gm26841	33	47	25	29	15	21	29	31	26	35	15
Id1	28	54	27	55	73	61	59	59	26	65	62
RP23-106A3.2	0	0	2	0	2	0	0	0	1	0	3
Cox4i2	4	4	0	9	5	12	4	10	2	4	10
Gm23802	0	2	5	12	5	10	4	6	6	7	8
Bcl2l1	2482	2195	1506	8479	6408	8346	3748	3704	3625	6938	6767
Tpx2	59	50	19	66	109	62	32	39	30	46	56
Mir5622	0	0	0	0	0	0	0	0	0	0	0
Mylk2	0	1	0	0	0	0	0	0	0	0	0
Foxs1	0	0	0	0	0	0	0	0	0	1	0
Dusp15	1	0	0	0	1	0	0	0	0	0	0
Ttll9	6	34	5	5	6	4	3	10	7	2	14
RP23-414F8.5	0	0	0	0	0	0	0	0	0	0	0
Pdrg1	4169	3171	1981	1704	1680	1902	4010	3004	2794	2787	2215
Xkr7	0	0	0	0	0	0	0	0	0	1	0
Ccm2l	0	0	0	17	14	5	0	0	0	11	0
Hck	233	112	122	273	231	305	179	165	242	553	473
Gm25643	0	0	0	0	0	0	0	0	0	0	0
Tm9sf4	4061	3286	2018	3020	3278	2964	3514	2690	3075	3066	3040
Tspyl3	485	356	203	335	254	302	487	438	362	492	340
Plagl2	2811	2060	1370	2480	2320	1896	2383	1820	1935	2283	1944
Pofut1	748	586	431	477	416	432	802	644	612	528	641
Kif3b	788	567	414	772	612	585	554	732	482	779	552
RP23-192G18.7	13	41	25	22	15	21	59	40	51	25	14
Asxl1	2153	2293	1415	2269	2044	2683	2092	2119	2576	1982	1644
Nol4l	43	40	11	726	378	794	87	107	41	152	210
RP23-204D17.3	0	0	1	4	11	2	0	0	1	1	0
RP23-204D17.4	0	0	0	0	0	0	0	0	0	0	1
Commd7	1488	847	699	1149	971	1202	1517	1399	1186	1350	1123
Dnmt3bos	11	10	4	5	3	5	14	9	6	7	5
Dnmt3b	1107	821	543	547	493	581	1118	932	1085	749	771
RP23-244H7.1	3	0	0	7	3	0	0	0	0	0	0
Mapre1	7809	5844	3839	7171	6886	7282	6382	6204	5365	7268	6003
Efcab8	13	2	6	21	26	10	2	3	21	5	10
RP23-244H7.4	17	9	17	6	12	10	13	18	15	20	15
Sun5	0	0	0	0	0	0	0	0	0	0	0
Bpifb2	0	0	0	5	1	0	0	0	0	0	2
Bpifb6	0	0	0	0	3	0	0	0	0	0	0
Bpifb3	0	0	0	0	0	0	0	0	0	0	0
Bpifb4	0	0	0	0	0	0	0	0	0	0	0
Bpifa6	0	1	0	0	0	0	0	0	0	0	0
Bpifa2	0	0	0	0	0	0	0	0	0	0	0
RP23-149G14.6	0	0	0	0	3	2	0	0	0	0	0
RP23-149G14.3	0	0	0	0	0	0	1	0	0	0	0
Bpifa3	0	0	0	0	0	0	0	0	0	0	0
Bpifa1	3218	291	3	348	137	6	411	159	334	0	330
Bpifa5	0	0	0	0	0	0	0	0	0	0	0
Bpifb1	6	0	0	0	0	0	18	0	0	0	0
Bpifb5	0	0	0	0	0	0	0	0	0	0	0
Bpifb9a	0	0	0	0	0	0	0	0	0	0	0
RP23-154J12.4	0	0	0	0	0	0	0	0	1	0	0
Bpifb9b	0	0	0	0	0	0	0	0	0	0	0
Cdk5rap1	246	313	190	218	204	253	225	254	330	231	277
Snta1	3	2	4	11	10	3	0	0	2	1	12
Cbfa2t2	660	731	348	1002	994	1100	689	602	573	741	612
Necab3	2	5	8	0	2	2	9	1	0	2	2
RP23-109C16.3	0	1	1	1	2	1	5	0	1	0	0
Actl10	0	0	0	5	0	0	11	0	0	3	0
E2f1	115	129	84	120	108	74	131	127	61	139	78
Pxmp4	39	9	6	71	36	56	50	34	33	30	54
4930519P11Rik	3	2	0	3	0	0	0	0	1	1	2
Zfp341	47	57	29	40	29	43	48	53	53	35	40
RP23-29D15.2	0	0	0	0	0	2	0	0	0	2	0
Chmp4b	1537	1481	877	1226	978	1168	1139	1298	1133	1174	1010
Rpl5-ps2	9	7	2	3	12	5	6	6	2	6	4
RP23-29D15.5	0	0	0	0	0	0	0	0	0	0	0
RP23-29D15.6	0	0	0	0	0	0	0	0	0	0	0
RP23-480H10.1	0	0	0	0	0	4	0	0	0	0	0
Raly	2990	2335	1724	3014	1826	2965	2992	2961	2488	3121	2114
a	0	0	0	1	2	0	0	0	2	0	0
Eif2s2	7612	7229	4380	3389	2949	4512	7248	8200	6851	6344	5278
RP23-192A6.2	0	0	0	0	0	2	0	0	0	0	0
Ahcy	795	636	345	487	431	503	764	714	748	756	651
RP23-290O4.2	4	0	0	2	0	0	2	1	0	0	1
RP23-290O4.1	0	0	0	0	0	0	0	0	0	0	0
Itch	2852	2198	1481	3202	3499	3491	2255	2409	1958	3235	2253
RP23-87L24.2	1	3	1	1	2	4	0	0	1	1	4
Dynlrb1	1363	955	698	2013	1642	1983	1498	1450	1177	1966	1615
Map1lc3a	142	93	73	487	531	465	180	184	214	347	236
Pigu	2515	1952	1180	1644	1705	1823	1958	1916	1638	1765	1626
Mir695	0	2	3	0	0	6	0	3	6	0	0
Trp53inp2	56	87	33	266	197	178	80	60	72	132	93
Ncoa6	1214	1012	497	1167	1120	918	807	640	1079	1032	949
RP23-260N23.1	3	0	1	2	0	0	4	0	3	0	0
RP23-260N23.2	0	1	0	0	0	0	0	0	0	0	0
Ggt7	37	29	9	10	6	11	13	21	36	8	22
Acss2	51	33	10	101	159	158	45	93	31	227	150
Mipep-ps	0	0	0	0	0	0	0	0	0	0	0
RP23-260N23.13	0	0	0	0	0	0	0	0	0	0	3
Acss2os	0	0	0	0	0	0	0	0	0	0	0
Gss	428	312	212	347	379	359	423	270	277	596	439
Gssos2	1	0	1	3	1	0	2	1	1	1	3
Gssos1	0	0	0	0	0	0	0	0	0	0	0
RP23-260N23.9	0	0	0	0	1	7	0	0	1	0	3
Myh7b	7	6	1	2	4	7	3	17	6	12	5
Mir499	0	0	0	0	0	0	0	0	0	0	0
Trpc4ap	3256	2741	1665	4493	4964	4293	3248	3237	2986	4185	3897
Gm22334	8	11	6	0	4	4	8	9	5	6	7
Edem2	603	440	285	753	696	733	721	640	595	847	590
Gm17581	0	0	0	0	0	0	0	0	0	0	0
Procr	383	78	111	510	482	314	151	57	166	1307	996
Mmp24	4	3	2	3	1	5	2	2	5	0	11
RP23-388H13.4	272	205	153	268	193	299	304	262	254	318	263
Eif6	10969	7733	5061	7284	6974	7254	8396	8072	7432	7562	7061
RP23-380B10.6	3	7	1	2	2	1	5	1	6	4	1
Fam83c	30	35	13	30	2	20	25	7	64	12	13
Uqcc1	1420	1097	688	960	985	1020	1123	1004	1283	1197	1005
RP23-380B10.5	0	0	0	0	0	0	0	0	0	0	0
Gdf5	0	0	0	0	0	0	0	0	0	0	0
Cep250	276	254	122	549	774	511	217	335	312	588	379
RP23-220D12.11	9	10	4	24	23	24	3	14	21	18	17
Ergic3	850	648	398	824	732	786	901	714	799	765	692
Fer1l4	6	0	0	0	1	0	0	0	0	0	0
RP23-220D12.4	0	0	0	0	0	0	0	0	0	0	0
Spag4	159	162	116	76	142	154	254	154	203	141	139
Cpne1	1	5	1	1	3	3	3	3	1	1	1
RP23-220D12.12	0	0	0	0	0	0	0	0	0	0	0
RP23-220D12.13	26	33	27	35	19	36	21	26	23	32	9
Rbm12	1151	779	588	959	821	905	863	930	752	964	813
Nfs1	1542	1356	869	934	817	861	1850	1479	1386	1267	1025
Romo1	1812	1299	841	1114	776	1200	1926	1544	1611	1305	1239
Rbm39	9271	9165	5785	10584	9804	11890	9065	9708	9498	10640	8805
Phf20	765	761	460	794	597	794	895	743	843	623	695
Scand1	307	264	140	310	297	264	295	301	266	362	263
Cnbd2	19	10	8	37	40	35	21	20	6	31	12
RP23-71H9.1	0	0	1	0	1	1	0	0	0	1	0
Gm22759	0	0	0	0	0	0	0	0	0	0	0
RP23-71H9.2	4	2	3	4	1	3	0	0	4	7	1
RP24-114E18.6	7	11	6	11	5	11	12	10	6	9	10
RP24-114E18.1	0	0	0	1	0	1	0	0	2	0	0
Gm22316	0	0	0	0	0	1	0	0	0	0	0
Rpl21-ps9	0	0	2	0	0	0	5	0	0	0	1
RP24-114E18.8	1879	1426	786	2098	2247	2028	1537	1432	1499	1947	1582
RP24-114E18.3	63	54	25	26	17	33	101	80	70	35	49
Gm22758	0	0	0	0	0	0	0	0	0	0	0
Epb41l1	4	3	7	25	27	23	4	7	1	6	5
RP23-55C8.4	0	0	0	0	0	0	0	3	0	0	0
RP24-114E18.4	0	0	0	0	0	0	0	0	0	0	0
Aar2	2115	1436	902	1913	1767	1819	1514	1678	1483	1545	1451
RP23-55C8.3	3	0	8	11	8	19	7	6	13	18	10
RP23-188D9.1	0	0	0	0	0	0	0	0	0	0	0
Dlgap4	946	837	591	1401	1244	1447	1063	1255	1008	1325	1207
RP23-188D9.4	0	0	0	0	0	0	0	0	0	0	0
RP23-188D9.3	0	0	0	0	0	0	0	0	0	0	0
RP23-188D9.5	1	1	4	13	4	6	6	4	7	7	6
Myl9	2	7	1	3	15	0	0	0	1	2	4
RP24-482A24.2	1	1	0	1	0	0	1	0	0	0	0
RP24-482A24.3	68	41	38	19	24	18	54	31	46	47	12
Tgif2	143	165	89	180	202	184	100	97	98	135	96
RP24-482A24.11	90	82	39	126	85	164	136	102	84	145	103
RP24-482A24.12	62	62	16	51	44	26	63	20	30	28	20
4930518I15Rik	84	63	47	98	45	128	83	101	64	53	65
Gm27651	1	2	0	1	0	3	1	3	0	3	3
RP24-482A24.5	1243	881	643	931	770	868	1190	1037	916	1039	911
Sla2	70	119	35	421	670	507	203	216	134	452	258
RP24-482A24.10	0	0	0	0	0	0	0	0	0	0	0
RP24-482A24.7	0	0	1	0	0	0	0	0	0	0	0
RP24-482A24.8	0	0	0	0	0	0	0	0	0	0	0
Ndrg3	556	420	231	589	463	651	492	514	453	452	427
Gm27653	0	0	0	0	0	1	1	0	1	0	0
RP23-430P1.1	16	10	11	7	17	21	7	4	16	18	4
Dsn1	108	151	52	161	166	200	80	100	137	174	87
Soga1	17	12	7	41	6	14	20	2	1	16	8
Tldc2	0	1	1	0	1	6	0	3	3	3	2
Samhd1	4004	4926	2866	3131	3734	4232	2521	3683	3304	6329	4749
Rbl1	290	247	148	309	323	235	221	286	199	409	283
RP23-163J20.4	7	1	6	1	2	2	6	3	2	8	2
Mroh8	1	4	2	3	2	6	1	2	3	0	0
Rpn2	10248	7040	4497	7390	7978	7633	7636	7452	6548	7070	6987
Ghrh	3	1	0	3	0	0	0	0	0	0	0
Manbal	714	565	435	697	683	691	644	655	559	770	639
Src	12	15	8	149	297	173	33	1	2	55	61
RP23-169M4.2	140	79	63	62	61	81	164	150	128	104	101
RP23-169M4.3	0	0	0	0	0	0	0	0	0	0	0
RP23-169M4.4	5	11	2	7	9	29	9	11	6	8	6
Blcap	426	363	263	1093	1169	912	546	476	361	793	649
Nnat	14	3	9	28	7	10	18	15	10	6	7
Gm23134	0	0	0	0	0	0	0	0	0	0	0
Platr27	2	1	1	0	1	0	2	4	1	11	0
Gm25407	0	0	0	0	0	0	0	0	0	0	0
Gm23463	0	1	1	0	0	0	0	0	0	0	0
Ctnnbl1	1918	1314	840	1586	1619	1557	1613	1584	1375	1762	1636
RP23-91I20.2	6	0	0	5	2	3	4	3	1	2	1
Vstm2l	0	0	0	0	0	3	0	0	0	0	0
Tti1	1133	681	594	932	936	797	794	721	839	961	699
Rprd1b	1496	1156	740	1392	1457	1473	1285	1263	1035	1289	1142
RP23-396G1.4	0	5	1	3	2	1	0	0	2	1	1
Tgm2	374	118	187	519	283	299	104	39	227	316	538
RP23-396G1.3	0	0	0	0	0	0	0	0	0	0	0
RP23-407H16.1	0	0	1	0	0	0	0	0	0	0	0
RP23-407H16.2	0	0	0	0	0	0	0	0	0	0	0
Mir7685	0	0	0	0	0	0	0	0	0	0	0
Bpi	0	0	0	0	0	0	0	0	0	0	0
Lbp	4	4	0	1	3	9	0	0	0	6	0
Snhg17	2522	2474	1424	1717	1544	2198	3114	2277	2487	2410	1808
Gm24411	0	0	0	0	0	0	0	0	0	0	0
Gm26003	0	0	0	0	0	0	0	0	0	0	0
RP23-132A3.5	0	0	0	0	0	0	0	0	0	0	0
Gm23925	0	0	0	0	0	0	0	0	0	0	0
Snhg11	2	0	0	1	0	0	1	0	0	0	0
Gm25187	0	0	0	0	0	0	0	0	0	0	0
Gm25129	0	0	0	0	0	0	0	0	0	0	0
RP23-132A3.4	0	0	0	0	0	0	0	0	0	0	0
RP23-132A3.3	0	0	0	0	0	0	0	0	0	0	0
Ralgapb	1180	930	536	1756	1553	1504	1128	1150	1073	1586	1144
RP23-132A3.2	0	1	2	2	0	1	0	1	0	0	0
Gm24379	2	1	0	0	0	0	0	0	0	1	2
Adig	0	0	0	2	1	3	2	0	0	0	4
Arhgap40	4	0	0	0	0	0	2	0	0	0	2
RP23-392P11.4	0	0	0	0	0	0	0	0	0	0	0
Slc32a1	0	0	3	0	0	0	0	0	0	4	0
RP23-392P11.6	0	0	0	0	0	0	0	0	0	0	0
Actr5	1193	998	682	1047	1020	1306	1329	1136	1095	1269	819
Mir3474	2	1	1	1	0	1	0	1	1	1	0
Ppp1r16b	4838	5745	2890	10305	10857	10612	5562	7119	5161	9532	7717
Gm26141	0	0	0	0	1	1	0	1	0	0	0
Fam83d	33	66	20	75	160	96	49	31	35	138	64
Dhx35	698	439	333	615	674	758	594	671	536	668	659
Gm44319	0	0	0	0	0	0	0	0	0	0	0
Gm25090	0	0	0	0	0	0	0	0	0	0	0
RP23-53L16.1	0	0	0	0	0	0	0	0	0	0	0
RP23-190L21.1	0	0	0	0	0	0	0	0	0	0	0
RP23-190L21.2	0	0	0	0	0	0	0	0	0	0	0
RP23-100C4.1	0	0	0	0	0	0	0	0	0	0	0
RP23-100C4.2	0	0	0	0	0	0	0	0	0	0	0
RP23-100C4.3	0	0	0	0	0	0	0	0	0	0	0
RP23-100C4.4	0	0	0	0	0	0	0	0	0	0	0
RP23-333A18.2	0	0	0	0	0	0	0	0	0	0	0
Mafb	11	2	12	29	53	10	0	0	3	43	29
RP23-152H17.2	0	0	0	0	0	2	9	0	0	0	4
RP23-152H17.1	0	0	0	0	2	0	0	0	0	0	0
Gm23968	0	0	0	0	0	0	0	0	0	0	0
Top1	4932	4592	2867	5205	5021	5951	4574	4649	4046	4310	4429
Plcg1	652	578	371	957	995	803	724	685	780	909	845
RP23-393F23.11	8	10	5	0	1	9	7	9	10	10	4
Zhx3	101	149	59	100	126	208	139	132	92	101	122
RP23-393F23.7	0	0	0	1	0	3	0	3	0	0	1
RP23-393F23.3	0	0	0	1	0	0	0	0	0	0	0
Lpin3	0	0	3	4	26	18	1	6	0	8	7
Emilin3	0	0	0	7	2	0	0	0	0	0	0
RP23-393F23.6	0	0	0	0	0	0	0	0	0	0	0
Chd6	420	530	253	591	575	679	635	629	573	700	496
Gm25561	0	0	0	0	0	0	0	1	0	0	0
RP23-480D17.3	0	0	0	0	0	0	0	0	0	0	0
RP23-480D17.1	0	0	0	0	0	0	0	0	0	0	0
RP23-480D17.2	0	0	0	0	0	0	0	0	0	0	0
RP23-392O2.1	0	0	1	3	1	2	1	0	1	2	0
RP23-392O2.2	0	1	1	0	0	0	0	1	0	5	0
RP23-272O14.2	0	0	0	0	0	0	0	0	0	0	0
RP23-272O14.1	1	0	1	0	0	0	1	0	2	0	0
RP23-466K24.2	0	0	0	0	0	0	0	0	0	0	0
Ptprt	0	0	0	0	0	0	0	0	0	0	0
Ptprtos	0	0	0	0	0	0	0	0	0	0	0
RP23-474J7.2	0	0	0	0	0	0	0	0	0	0	0
RP23-474J7.3	0	0	0	0	0	0	0	0	0	0	0
Gm22936	0	0	0	0	0	0	0	0	0	0	0
RP23-206I14.1	0	0	0	0	0	0	0	1	0	1	0
Gm24478	0	0	0	0	0	0	0	0	0	0	0
RP23-206I14.5	0	0	0	0	0	0	0	0	0	0	0
RP23-206I14.2	16	9	14	1	1	0	3	1	5	2	2
RP23-206I14.3	0	0	0	0	0	0	0	0	0	0	0
Srsf6	10167	9010	6010	6192	6121	7458	9136	9971	8511	8570	7487
L3mbtl1	0	2	1	8	11	11	3	1	0	0	0
RP23-335N12.2	2	3	0	3	0	0	2	2	1	2	1
Sgk2	0	1	0	1	9	8	0	0	0	0	0
Ift52	865	652	401	640	667	650	1021	749	881	954	696
Mybl2	33	47	16	56	16	52	36	31	32	11	18
Mir7003	0	0	0	0	0	0	0	0	0	0	0
Gtsf1l	0	0	0	0	2	0	0	0	0	2	0
Gm22174	0	0	0	0	0	0	0	0	0	0	0
RP23-335N12.3	0	0	2	0	0	1	0	0	0	0	0
RP23-109E10.1	0	0	0	0	0	0	0	0	0	0	0
Tox2	894	636	340	130	165	102	280	276	202	137	64
Jph2	0	0	0	9	2	5	0	0	0	0	0
Oser1	488	361	205	475	439	503	401	415	353	429	393
RP23-117O11.4	13	5	9	14	9	9	15	5	25	16	1
Gdap1l1	0	0	4	0	0	4	0	0	2	1	0
Fitm2	760	547	281	624	482	389	533	399	476	525	447
RP23-36P22.8	12	13	7	9	3	8	13	13	17	8	5
R3hdml	0	0	0	0	0	0	0	0	3	0	0
Hnf4aos	0	0	0	0	0	0	0	0	0	0	0
Hnf4a	0	0	0	0	0	11	0	0	0	0	0
Gm25881	0	0	0	0	0	0	0	0	0	0	0
Ttpal	2311	2064	1263	1826	1846	1861	1852	1769	1652	1801	1774
Serinc3	3746	3357	2317	11304	12109	10830	3711	4588	3555	8736	6749
RP23-144O20.5	3	0	2	8	4	3	1	4	5	5	8
Pkig	105	128	67	119	115	138	100	78	153	132	185
RP23-144O20.4	0	1	0	0	1	1	0	0	0	2	0
Ada	216	147	110	85	89	122	178	263	150	163	114
Wisp2	0	0	0	0	0	0	0	0	0	0	0
Kcnk15	0	0	1	0	0	0	0	0	0	0	0
Rims4	0	0	2	0	0	0	0	0	0	0	0
Ywhab	8746	6552	4529	6335	6166	6909	7281	7380	5823	7837	6704
Pabpc1l	12	11	5	11	17	31	3	22	18	37	13
Tomm34	2983	2347	1293	2826	3028	2678	2629	2902	2325	3004	2411
Stk4	3400	2619	1570	3778	3767	4154	3671	3904	2872	4967	4318
RP23-346D16.7	1	2	4	0	1	3	1	6	0	3	0
n-R5s207	0	0	1	0	0	0	0	0	1	0	0
Kcns1	93	73	34	18	15	41	69	51	37	23	12
Wfdc5	0	0	0	0	0	0	0	0	0	0	0
RP23-346D16.6	0	0	0	1	1	1	3	0	0	0	0
Wfdc12	1	0	0	0	0	0	0	0	0	0	0
Wfdc15a	0	0	0	0	0	0	0	0	0	0	0
Wfdc15b	0	0	0	1	0	0	1	0	0	0	0
Svs2	0	0	0	0	0	0	0	0	0	0	0
Svs3b	0	0	0	0	0	0	0	0	0	0	0
Svs4	0	0	0	0	0	0	0	0	0	0	0
Svs3a	0	0	0	0	0	0	0	0	0	0	0
Svs6	0	0	0	0	0	0	0	0	0	0	0
Svs5	0	0	0	0	0	0	0	0	0	0	0
Slpi	625	123	197	943	965	663	292	50	301	3645	2661
Mir7678	0	1	1	0	0	0	0	0	2	7	9
Matn4	0	0	0	3	0	0	0	0	0	1	0
Rbpjl	0	0	3	0	0	0	0	0	0	0	1
Sdc4	410	126	151	582	569	438	172	164	299	1531	1108
Sys1	789	680	431	676	559	791	868	920	674	920	706
RP23-140D14.12	0	0	0	0	0	0	4	0	3	2	0
RP23-140D14.19	0	0	0	0	0	0	0	0	0	0	0
Trp53tg5	3	7	2	7	2	4	9	1	3	6	6
Dbndd2	1	12	5	8	3	4	6	3	13	5	2
Pigt	1350	1110	698	986	925	1070	1542	1337	1207	1175	1160
RP23-140D14.14	0	0	0	0	0	0	0	0	0	0	0
Wfdc2	117	9	9	105	8	30	79	33	53	6	36
Spint3	0	0	0	0	0	0	0	0	0	0	0
Wfdc6a	0	0	0	0	0	0	0	0	0	0	0
Eppin	0	0	0	0	0	2	0	0	0	0	0
Wfdc8	0	0	0	0	0	0	0	0	0	0	0
Gm25512	0	0	0	0	0	0	0	0	0	0	0
Wfdc6b	0	0	0	0	0	0	0	0	0	0	0
Gm24473	0	0	0	0	0	0	0	0	0	0	0
Wfdc16	0	0	0	0	0	0	0	0	0	0	0
RP23-140D14.10	0	0	0	0	0	0	0	0	0	0	0
Wfdc9	0	0	0	0	0	0	0	0	0	0	0
Wfdc10	0	0	0	0	0	0	0	0	0	0	0
Wfdc11	0	0	0	0	0	0	0	0	0	0	0
Wfdc13	0	0	0	0	0	0	0	0	0	0	0
Spint4	0	0	0	0	0	0	0	0	0	0	0
Spint5	0	0	0	0	0	0	0	0	0	0	0
Wfdc3	0	1	0	0	2	2	0	0	3	0	1
Dnttip1	854	684	418	753	838	959	699	778	572	833	681
RP23-370H21.5	9	9	8	8	25	18	33	20	20	23	24
Gm22596	4	14	3	6	14	9	19	10	21	11	8
Ube2c	34	65	28	21	24	41	40	3	30	26	25
Tnnc2	0	0	0	0	0	0	0	0	0	0	0
Snx21	88	78	79	112	43	99	161	95	78	114	88
Acot8	257	202	120	257	164	266	234	230	232	249	253
Zswim3	110	71	32	216	239	156	76	51	44	112	82
Zswim1	321	258	184	398	384	488	377	347	360	373	403
Spata25	0	1	0	0	0	0	0	0	1	0	0
Neurl2	18	14	12	5	6	2	20	29	8	6	2
Ctsa	1119	782	426	962	1025	1055	794	633	757	1215	832
Pltp	58	25	13	105	107	53	94	28	50	110	57
Pcif1	1894	1546	1049	2741	2800	2809	2037	2145	2026	2520	2138
Zfp335	894	599	350	649	856	827	968	632	689	702	574
Zfp335os	75	90	44	59	60	51	112	93	67	75	42
Mmp9	15	20	6	38	29	26	4	9	0	17	13
Slc12a5	8	4	2	37	12	27	18	9	11	13	26
Ncoa5	2891	2628	1415	2656	2837	2570	2542	2501	2323	2653	2316
Cd40	339	254	304	354	432	383	295	101	295	1018	946
RP23-428M13.2	0	0	0	0	0	0	0	0	0	0	0
Cdh22	0	0	0	0	0	5	1	0	0	0	1
RP23-428M13.4	0	0	0	0	0	0	0	0	0	0	0
Gm25569	0	0	0	0	0	0	0	0	0	0	0
Slc35c2	1826	1312	854	739	741	650	1737	1346	1183	879	920
Elmo2	980	990	564	2018	2761	2023	895	1211	919	1462	1283
Zfp663	0	0	0	0	0	0	0	0	0	0	0
Zfp334	6	0	0	0	0	0	0	0	0	0	0
Ocstamp	0	0	0	0	1	0	1	0	0	5	0
Slc13a3	8	7	2	3	13	22	0	0	5	3	9
RP23-395E18.7	0	0	0	0	0	0	0	0	0	0	0
Trp53rka	1292	1028	535	812	755	849	1107	925	825	923	730
Slc2a10	0	0	0	0	0	0	0	0	0	8	2
Eya2	0	0	2	73	82	65	0	3	4	18	11
RP23-90N15.1	0	0	0	0	0	0	0	0	0	0	0
RP23-138C10.2	0	0	0	1	0	0	0	0	1	0	0
Zmynd8	267	189	91	415	404	389	462	726	572	592	456
RP23-108D12.3	0	1	0	5	0	3	13	5	0	6	0
RP23-108D12.2	0	0	0	0	0	2	1	0	1	0	0
Gm22692	0	1	0	0	0	0	0	0	0	0	1
RP23-108D12.4	0	0	0	0	0	0	0	0	0	0	0
RP23-108D12.5	0	0	0	0	0	0	0	0	0	0	2
Platr29	9	10	7	11	3	3	3	2	2	12	3
RP23-108D12.7	2	1	1	3	1	1	1	7	2	3	0
Ncoa3	4531	4217	2439	5329	6616	5710	5152	5207	4092	6417	4735
Sulf2	65	52	28	48	26	68	48	12	51	54	47
Gm22687	0	0	0	0	0	0	0	0	0	0	0
RP23-120P1.3	0	0	0	0	0	0	0	0	0	0	0
RP23-120P1.4	0	0	0	0	0	0	0	0	0	0	0
RP23-79H8.1	0	0	0	0	0	0	0	0	0	0	0
RP23-155G13.1	0	0	0	0	0	0	0	0	0	0	0
RP23-183N8.3	0	0	2	5	7	7	0	5	4	0	3
RP23-183N8.2	0	0	0	6	6	1	0	0	0	0	0
Prex1	680	853	295	2708	3905	2523	544	474	424	1652	1490
Gm23152	0	1	0	0	0	0	0	0	1	0	0
Gm25265	0	0	0	0	1	4	0	0	0	0	2
Gm24477	0	0	0	0	0	0	0	0	0	0	0
Trp53rkb	297	219	201	204	197	202	353	284	255	305	215
Arfgef2	1347	1260	500	1062	1363	879	1088	977	698	1029	818
Cse1l	8121	6163	3966	5620	5172	5565	6541	6897	5792	5829	5352
RP23-19L12.11	27	47	26	35	16	35	43	35	50	30	14
Stau1	2421	2039	1137	2795	2709	2846	2283	1894	1812	2316	1476
RP23-19L12.7	2	1	0	0	0	2	0	0	0	1	0
Ddx27	9711	7478	4837	6439	5969	6621	8312	7112	7862	6701	6581
Znfx1	1221	967	613	2625	3737	2660	1228	1210	1249	2370	1762
Zfas1	1512	1303	893	698	400	774	1887	1223	1833	942	838
Gm27494	0	0	0	0	0	0	0	0	0	0	0
Gm25878	0	0	0	0	0	0	0	0	0	0	0
Gm23201	0	0	0	0	0	0	0	0	0	0	0
Snord12	0	0	0	0	0	0	0	0	0	0	0
RP23-19L12.3	0	0	1	0	0	0	0	0	0	0	0
RP23-19L12.2	0	0	0	0	0	0	0	0	0	0	0
Kcnb1	8	3	2	4	3	0	0	12	17	0	4
RP23-105M23.4	0	0	0	0	0	1	0	0	0	2	0
Ptgis	0	6	1	0	4	0	0	0	0	3	0
RP23-105M23.5	0	0	0	0	0	0	0	0	0	0	0
RP23-105M23.3	0	0	0	0	3	0	0	0	0	0	0
B4galt5	3437	2759	1832	7782	7872	8931	3283	3512	3475	4573	4268
Slc9a8	3001	3191	1624	2827	3153	3434	2877	3130	3124	2906	2850
Spata2	1480	1139	585	1772	1815	1804	1094	1013	982	1517	1337
Rnf114	5468	5144	2875	5456	6022	5482	4458	4627	3894	5893	4939
RP23-118A2.4	8	5	0	3	0	3	2	5	5	6	6
Snai1	17	8	10	0	5	6	8	6	29	9	11
RP23-118A2.9	8	2	1	1	3	21	25	13	7	16	11
RP23-118A2.6	0	0	0	0	0	0	0	0	0	0	0
Ube2v1	45	32	20	52	39	43	26	31	25	37	41
RP23-118A2.10	0	0	0	0	0	0	0	0	0	0	0
Tmem189	1495	1274	744	1267	1101	1225	1450	1134	1299	1290	1167
Gm22355	9	4	4	5	5	7	5	4	14	6	2
RP23-31D7.1	0	1	0	0	0	2	0	0	6	0	0
Cebpb	901	1026	566	752	663	705	546	780	800	1341	1103
RP24-151H6.2	0	2	0	1	8	0	0	0	1	0	0
RP24-151H6.3	12	11	7	2	8	8	14	12	5	13	13
RP24-151H6.4	11	12	5	9	1	9	10	14	5	8	7
RP24-151H6.5	0	0	0	1	0	1	0	0	0	0	1
RP24-151H6.6	0	0	0	0	0	0	0	0	0	0	0
Ptpn1	7464	5459	3954	3006	3045	3179	5599	4978	4993	4137	3909
Fam65c	1	9	2	0	6	0	6	15	7	2	8
RP23-209N3.1	1	1	3	0	0	0	1	2	0	0	1
Gm24327	0	0	0	0	0	0	0	0	0	0	0
Pard6b	282	212	104	62	97	162	111	140	92	121	134
RP23-209N3.3	0	0	0	0	0	0	0	0	0	0	0
RP23-209N3.4	0	0	0	0	0	0	0	11	0	0	0
Gm24561	1	0	0	0	0	0	0	0	0	0	1
Adnp	28	32	26	32	17	28	30	25	31	32	14
RP23-391M18.7	0	0	0	0	0	0	0	0	0	0	0
Dpm1	208	317	159	266	237	292	271	227	342	265	172
Mocs3	755	491	367	545	429	555	495	696	492	477	494
RP23-391M18.4	0	0	0	0	0	0	0	0	0	0	0
Kcng1	0	0	0	0	0	0	0	0	0	0	0
RP23-391M18.6	0	0	0	0	0	0	0	0	0	0	0
Gm22704	0	0	0	0	0	0	0	0	0	0	0
RP23-156E17.1	0	0	0	0	0	0	0	0	0	0	0
Nfatc2	278	242	142	1131	1457	881	250	224	243	694	610
